normexam.p;schgend.mixed;schgend.boys;schgend.girls;schavg.p;vr.bottom.25.;vr.mid.50.;vr.top.25.;standLRT.p;sex.F;sex.M;type.Mxd;type.Sngl
67;-1.029067;1;0;0;0.1661752;0;1;0;-1.281924;0;1;1;0
68;-0.129085;1;0;0;0.1661752;0;1;0;-0.124804;0;1;1;0
69;1.5792202;1;0;0;0.1661752;0;1;0;0.2058022;0;1;1;0
70;1.3101422;1;0;0;0.1661752;0;1;0;1.6935282;0;1;1;0
71;-1.118624;1;0;0;0.1661752;0;1;0;-0.868667;1;0;1;0
72;0.8965662;1;0;0;0.1661752;0;1;0;0.8670142;0;1;1;0
73;0.2613242;1;0;0;0.1661752;0;1;0;0.3711052;0;1;1;0
74;1.5792202;0;0;1;0.3951492;0;0;1;0.1231502;1;0;0;1
75;1.2405332;0;0;1;0.3951492;0;0;1;0.7017112;1;0;0;1
76;0.6107292;0;0;1;0.3951492;0;0;1;0.2884532;1;0;0;1
77;0.4781942;0;0;1;0.3951492;0;0;1;0.7017112;1;0;0;1
78;-1.118624;0;0;1;0.3951492;0;0;1;-0.620713;1;0;0;1
79;1.7348992;0;0;1;0.3951492;0;0;1;1.2802712;1;0;0;1
80;2.4086922;0;0;1;0.3951492;0;0;1;0.6190592;1;0;0;1
81;2.9246672;0;0;1;0.3951492;0;0;1;0.9496652;1;0;0;1
82;2.7018012;0;0;1;0.3951492;0;0;1;-0.45541;1;0;0;1
83;1.3101422;0;0;1;0.3951492;0;0;1;1.1976192;1;0;0;1
84;1.5061852;0;0;1;0.3951492;0;0;1;1.0323172;1;0;0;1
85;-0.129085;0;0;1;0.3951492;0;0;1;-1.281924;1;0;0;1
86;-0.129085;0;0;1;0.3951492;0;0;1;-0.538061;1;0;0;1
87;0.6107292;0;0;1;0.3951492;0;0;1;1.3629222;1;0;0;1
88;3.1340482;0;0;1;0.3951492;0;0;1;1.0323172;1;0;0;1
89;2.2031212;0;0;1;0.3951492;0;0;1;1.2802712;1;0;0;1
90;0.5443412;0;0;1;0.3951492;0;0;1;0.3711052;1;0;0;1
91;-0.623051;0;0;1;0.3951492;0;0;1;-0.45541;1;0;0;1
92;1.4395322;0;0;1;0.3951492;0;0;1;0.0404992;1;0;0;1
93;1.0396082;0;0;1;0.3951492;0;0;1;-0.290107;1;0;0;1
94;0.0043222;0;0;1;0.3951492;0;0;1;-0.620713;1;0;0;1
95;0.4026692;0;0;1;0.3951492;0;0;1;0.7843622;1;0;0;1
96;-0.623051;0;0;1;0.3951492;0;0;1;-0.786016;1;0;0;1
97;1.3101422;0;0;1;0.3951492;0;0;1;1.9414832;1;0;0;1
98;-1.029067;0;0;1;0.3951492;0;0;1;-0.868667;1;0;0;1
99;2.4086922;0;0;1;0.3951492;0;0;1;1.9414832;1;0;0;1
100;0.8219882;0;0;1;0.3951492;0;0;1;-0.372758;1;0;0;1
101;0.6107292;0;0;1;0.3951492;0;0;1;0.1231502;1;0;0;1
102;2.7018012;0;0;1;0.3951492;0;0;1;2.0241342;1;0;0;1
103;1.7348992;0;0;1;0.3951492;0;0;1;1.9414832;1;0;0;1
104;0.4026692;0;0;1;0.3951492;0;0;1;1.6935282;1;0;0;1
105;-1.962075;0;0;1;0.3951492;0;0;1;-0.45541;1;0;0;1
106;0.3280722;0;0;1;0.3951492;0;0;1;1.3629222;1;0;0;1
107;-1.438662;0;0;1;0.3951492;0;0;1;-2.76965;1;0;0;1
108;2.0397092;0;0;1;0.3951492;0;0;1;0.2884532;1;0;0;1
109;0.6107292;0;0;1;0.3951492;0;0;1;-0.45541;1;0;0;1
110;-0.555112;0;0;1;0.3951492;0;0;1;-0.124804;1;0;0;1
111;2.0397092;0;0;1;0.3951492;0;0;1;0.3711052;1;0;0;1
112;-0.623051;0;0;1;0.3951492;0;0;1;-1.695182;1;0;0;1
113;-1.118624;0;0;1;0.3951492;0;0;1;-0.620713;1;0;0;1
114;0.7472282;0;0;1;0.3951492;0;0;1;0.0404992;1;0;0;1
115;1.8138272;0;0;1;0.3951492;0;0;1;2.4373912;1;0;0;1
116;1.9771072;0;0;1;0.3951492;0;0;1;2.0241342;1;0;0;1
117;-1.219486;0;0;1;0.3951492;0;0;1;0.2058022;1;0;0;1
118;0.4026692;0;0;1;0.3951492;0;0;1;1.2802712;1;0;0;1
119;1.1094382;0;0;1;0.3951492;0;0;1;2.1894372;1;0;0;1
120;1.0396082;0;0;1;0.3951492;0;0;1;1.6108772;1;0;0;1
121;-0.265159;0;0;1;0.3951492;0;0;1;-0.538061;1;0;0;1
122;1.6618062;0;0;1;0.3951492;0;0;1;0.7017112;1;0;0;1
123;2.1029752;0;0;1;0.3951492;0;0;1;2.1894372;1;0;0;1
124;3.1340482;0;0;1;0.3951492;0;0;1;1.2802712;1;0;0;1
125;0.6107292;0;0;1;0.3951492;0;0;1;-0.45541;1;0;0;1
126;0.6107292;0;0;1;0.3951492;0;0;1;-0.042152;1;0;0;1
127;-1.335315;0;0;1;0.3951492;0;0;1;-1.116621;1;0;0;1
128;-0.85267;0;0;1;0.3951492;0;0;1;-1.116621;1;0;0;1
129;-0.197611;1;0;0;0.5141552;0;0;1;-0.042152;1;0;1;0
130;2.9246672;1;0;0;0.5141552;0;0;1;1.3629222;1;0;1;0
131;-0.699505;1;0;0;0.5141552;0;0;1;1.3629222;1;0;1;0
132;2.4086922;1;0;0;0.5141552;0;0;1;1.4455742;0;1;1;0
133;0.8965662;1;0;0;0.5141552;0;0;1;-0.124804;0;1;1;0
134;0.1340672;1;0;0;0.5141552;0;0;1;-0.538061;0;1;1;0
135;-0.699505;1;0;0;0.5141552;0;0;1;0.7017112;0;1;1;0
136;0.0043222;1;0;0;0.5141552;0;0;1;-0.042152;0;1;1;0
137;-0.062088;1;0;0;0.5141552;0;0;1;-1.860484;0;1;1;0
138;1.1758492;1;0;0;0.5141552;0;0;1;0.1231502;1;0;1;0
139;1.9771072;1;0;0;0.5141552;0;0;1;2.4373912;0;1;1;0
140;-0.265159;1;0;0;0.5141552;0;0;1;1.2802712;1;0;1;0
141;0.6787592;1;0;0;0.5141552;0;0;1;-0.620713;1;0;1;0
142;0.2613242;1;0;0;0.5141552;0;0;1;1.1976192;1;0;1;0
143;0.9675862;1;0;0;0.5141552;0;0;1;0.2058022;1;0;1;0
144;1.5061852;1;0;0;0.5141552;0;0;1;-0.207455;1;0;1;0
145;1.3747412;1;0;0;0.5141552;0;0;1;0.3711052;0;1;1;0
146;0.2613242;1;0;0;0.5141552;0;0;1;-0.207455;0;1;1;0
147;1.8138272;1;0;0;0.5141552;0;0;1;1.1976192;0;1;1;0
148;0.1340672;1;0;0;0.5141552;0;0;1;0.3711052;1;0;1;0
149;-1.118624;1;0;0;0.5141552;0;0;1;-1.116621;0;1;1;0
150;0.4026692;1;0;0;0.5141552;0;0;1;0.2884532;1;0;1;0
151;1.5792202;1;0;0;0.5141552;0;0;1;0.7017112;1;0;1;0
152;0.7472282;1;0;0;0.5141552;0;0;1;0.6190592;0;1;1;0
153;0.4026692;1;0;0;0.5141552;0;0;1;0.2884532;1;0;1;0
154;1.8138272;1;0;0;0.5141552;0;0;1;1.2802712;1;0;1;0
155;2.0397092;1;0;0;0.5141552;0;0;1;2.4373912;0;1;1;0
156;2.2031212;1;0;0;0.5141552;0;0;1;1.8588312;0;1;1;0
157;0.8219882;1;0;0;0.5141552;0;0;1;1.0323172;1;0;1;0
158;2.0397092;1;0;0;0.5141552;0;0;1;0.9496652;1;0;1;0
159;1.9771072;1;0;0;0.5141552;0;0;1;2.4373912;0;1;1;0
160;1.4395322;1;0;0;0.5141552;0;0;1;0.7017112;0;1;1;0
161;1.5792202;1;0;0;0.5141552;0;0;1;0.9496652;1;0;1;0
162;1.2405332;1;0;0;0.5141552;0;0;1;1.0323172;0;1;1;0
163;1.3747412;1;0;0;0.5141552;0;0;1;0.3711052;1;0;1;0
164;0.8965662;1;0;0;0.5141552;0;0;1;1.1976192;1;0;1;0
165;0.8219882;1;0;0;0.5141552;0;0;1;-0.620713;0;1;1;0
166;2.1029752;1;0;0;0.5141552;0;0;1;0.9496652;1;0;1;0
167;-0.338842;1;0;0;0.5141552;0;0;1;-0.951318;0;1;1;0
168;1.0396082;1;0;0;0.5141552;0;0;1;0.0404992;0;1;1;0
169;1.4395322;1;0;0;0.5141552;0;0;1;0.0404992;0;1;1;0
170;0.1340672;1;0;0;0.5141552;0;0;1;0.6190592;0;1;1;0
171;1.1094382;1;0;0;0.5141552;0;0;1;0.2058022;0;1;1;0
172;1.5061852;1;0;0;0.5141552;0;0;1;0.9496652;1;0;1;0
173;-0.939378;1;0;0;0.5141552;0;0;1;-0.290107;0;1;1;0
174;-0.265159;1;0;0;0.5141552;0;0;1;-0.868667;0;1;1;0
175;0.6107292;1;0;0;0.5141552;0;0;1;1.2802712;1;0;1;0
176;0.7472282;1;0;0;0.5141552;0;0;1;0.5364082;0;1;1;0
177;-0.492781;1;0;0;0.5141552;0;0;1;0.2884532;1;0;1;0
178;-0.197611;1;0;0;0.5141552;0;0;1;0.6190592;0;1;1;0
179;0.9675862;1;0;0;0.5141552;0;0;1;0.5364082;0;1;1;0
180;2.2031212;1;0;0;0.5141552;0;0;1;-0.042152;0;1;1;0
181;0.6787592;1;0;0;0.0917642;0;1;0;0.3711052;1;0;1;0
182;0.4781942;1;0;0;0.0917642;0;1;0;-0.207455;0;1;1;0
183;0.2613242;1;0;0;0.0917642;0;1;0;1.8588312;0;1;1;0
184;0.1941492;1;0;0;0.0917642;0;1;0;0.1231502;1;0;1;0
185;-1.723882;1;0;0;0.0917642;0;1;0;-1.281924;0;1;1;0
186;-0.419801;1;0;0;0.0917642;0;1;0;-0.538061;0;1;1;0
187;0.4026692;1;0;0;0.0917642;0;1;0;-0.372758;1;0;1;0
188;-0.197611;1;0;0;0.0917642;0;1;0;-0.45541;0;1;1;0
189;0.0735362;1;0;0;0.0917642;0;1;0;0.8670142;1;0;1;0
190;-1.526653;1;0;0;0.0917642;0;1;0;-0.868667;0;1;1;0
191;-0.265159;1;0;0;0.0917642;0;1;0;-0.290107;1;0;1;0
192;-0.85267;1;0;0;0.0917642;0;1;0;-1.03397;0;1;1;0
193;0.3280722;1;0;0;0.0917642;0;1;0;1.9414832;0;1;1;0
194;-0.85267;1;0;0;0.0917642;0;1;0;-0.703364;0;1;1;0
195;0.4026692;1;0;0;0.0917642;0;1;0;-0.042152;0;1;1;0
196;-0.699505;1;0;0;0.0917642;0;1;0;-0.207455;0;1;1;0
197;0.6787592;1;0;0;0.0917642;0;1;0;-0.45541;1;0;1;0
198;2.5323522;1;0;0;0.0917642;0;1;0;0.8670142;1;0;1;0
199;1.5792202;1;0;0;0.0917642;0;1;0;0.3711052;0;1;1;0
200;-1.62373;1;0;0;0.0917642;0;1;0;-2.356393;0;1;1;0
201;-0.338842;1;0;0;0.0917642;0;1;0;0.2884532;0;1;1;0
202;-0.419801;1;0;0;0.0917642;0;1;0;-0.124804;1;0;1;0
203;-0.623051;1;0;0;0.0917642;0;1;0;0.2058022;0;1;1;0
204;1.3101422;1;0;0;0.0917642;0;1;0;0.6190592;1;0;1;0
205;0.6787592;1;0;0;0.0917642;0;1;0;0.9496652;1;0;1;0
206;-0.265159;1;0;0;0.0917642;0;1;0;-0.868667;0;1;1;0
207;-2.291731;1;0;0;0.0917642;0;1;0;-0.868667;1;0;1;0
208;-0.699505;1;0;0;0.0917642;0;1;0;-1.199273;0;1;1;0
209;-1.438662;1;0;0;0.0917642;0;1;0;-1.777833;1;0;1;0
210;-0.129085;1;0;0;0.0917642;0;1;0;0.6190592;0;1;1;0
211;0.1941492;1;0;0;0.0917642;0;1;0;-0.042152;0;1;1;0
212;0.5443412;1;0;0;0.0917642;0;1;0;0.5364082;0;1;1;0
213;0.6787592;1;0;0;0.0917642;0;1;0;-0.703364;0;1;1;0
214;-0.062088;1;0;0;0.0917642;0;1;0;0.9496652;0;1;1;0
215;1.1094382;1;0;0;0.0917642;0;1;0;0.3711052;0;1;1;0
216;-0.699505;1;0;0;0.0917642;0;1;0;0.7843622;0;1;1;0
217;-0.85267;1;0;0;0.0917642;0;1;0;0.3711052;1;0;1;0
218;-1.335315;1;0;0;0.0917642;0;1;0;-1.860484;0;1;1;0
219;-2.291731;1;0;0;0.0917642;0;1;0;-1.860484;0;1;1;0
220;0.1941492;1;0;0;0.0917642;0;1;0;-0.538061;1;0;1;0
221;1.4395322;1;0;0;0.0917642;0;1;0;0.6190592;1;0;1;0
222;0.1340672;1;0;0;0.0917642;0;1;0;0.0404992;1;0;1;0
223;-0.555112;1;0;0;0.0917642;0;1;0;0.0404992;1;0;1;0
224;-0.555112;1;0;0;0.0917642;0;1;0;-0.951318;0;1;1;0
225;0.8965662;1;0;0;0.0917642;0;1;0;0.1231502;1;0;1;0
226;-0.555112;1;0;0;0.0917642;0;1;0;-0.207455;0;1;1;0
227;2.0397092;1;0;0;0.0917642;0;1;0;1.7761802;1;0;1;0
228;0.8219882;1;0;0;0.0917642;0;1;0;0.0404992;0;1;1;0
229;1.5792202;1;0;0;0.0917642;0;1;0;-0.538061;1;0;1;0
230;1.0396082;1;0;0;0.0917642;0;1;0;0.0404992;1;0;1;0
231;2.1029752;1;0;0;0.0917642;0;1;0;2.2720892;1;0;1;0
232;0.5443412;1;0;0;0.0917642;0;1;0;1.1976192;0;1;1;0
233;1.9771072;1;0;0;0.0917642;0;1;0;2.3547402;0;1;1;0
234;0.6787592;1;0;0;0.0917642;0;1;0;1.5282252;1;0;1;0
235;0.7472282;1;0;0;0.0917642;0;1;0;0.7017112;0;1;1;0
236;1.5061852;1;0;0;0.0917642;0;1;0;2.1067862;0;1;1;0
237;2.1029752;1;0;0;0.0917642;0;1;0;0.8670142;1;0;1;0
238;-0.555112;1;0;0;0.0917642;0;1;0;-0.703364;0;1;1;0
239;-0.555112;1;0;0;0.0917642;0;1;0;-0.620713;1;0;1;0
240;-0.062088;1;0;0;0.0917642;0;1;0;0.8670142;1;0;1;0
241;-1.029067;1;0;0;0.0917642;0;1;0;0.2058022;0;1;1;0
242;-0.623051;1;0;0;0.0917642;0;1;0;0.1231502;0;1;1;0
243;-0.492781;1;0;0;0.0917642;0;1;0;-0.786016;1;0;1;0
244;-0.939378;1;0;0;0.0917642;0;1;0;-1.777833;1;0;1;0
245;-1.029067;1;0;0;0.0917642;0;1;0;-0.786016;1;0;1;0
246;0.0735362;1;0;0;0.0917642;0;1;0;0.6190592;1;0;1;0
247;1.1758492;1;0;0;0.0917642;0;1;0;1.6935282;0;1;1;0
248;-1.219486;1;0;0;0.0917642;0;1;0;-0.703364;0;1;1;0
249;-0.623051;1;0;0;0.0917642;0;1;0;-0.042152;0;1;1;0
250;2.3136012;1;0;0;0.0917642;0;1;0;0.4537562;1;0;1;0
251;-1.62373;1;0;0;0.0917642;0;1;0;-0.951318;0;1;1;0
252;-0.555112;1;0;0;0.0917642;0;1;0;0.0404992;0;1;1;0
253;-0.265159;1;0;0;0.0917642;0;1;0;0.7843622;1;0;1;0
254;-0.85267;1;0;0;0.0917642;0;1;0;-0.290107;0;1;1;0
255;0.7472282;1;0;0;0.0917642;0;1;0;0.7843622;1;0;1;0
256;1.1094382;1;0;0;0.0917642;0;1;0;1.8588312;1;0;1;0
257;1.9003352;1;0;0;0.0917642;0;1;0;1.4455742;0;1;1;0
258;-0.062088;1;0;0;0.0917642;0;1;0;-0.538061;0;1;1;0
259;0.3280722;1;0;0;0.0917642;0;1;0;0.1231502;0;1;1;0
260;1.0396082;1;0;0;0.2105252;0;0;1;-0.372758;1;0;1;0
261;1.0396082;1;0;0;0.2105252;0;0;1;0.2058022;0;1;1;0
262;0.1941492;1;0;0;0.2105252;0;0;1;0.2884532;1;0;1;0
263;0.1941492;1;0;0;0.2105252;0;0;1;0.0404992;0;1;1;0
264;0.2613242;1;0;0;0.2105252;0;0;1;0.9496652;0;1;1;0
265;1.5061852;1;0;0;0.2105252;0;0;1;0.7017112;1;0;1;0
266;0.3280722;1;0;0;0.2105252;0;0;1;1.1976192;1;0;1;0
267;-0.129085;1;0;0;0.2105252;0;0;1;-0.372758;1;0;1;0
268;-1.118624;1;0;0;0.2105252;0;0;1;-0.372758;1;0;1;0
269;0.1941492;1;0;0;0.2105252;0;0;1;0.5364082;1;0;1;0
270;0.3280722;1;0;0;0.2105252;0;0;1;-0.124804;0;1;1;0
271;1.1094382;1;0;0;0.2105252;0;0;1;1.7761802;0;1;1;0
272;0.7472282;1;0;0;0.2105252;0;0;1;0.4537562;1;0;1;0
273;-0.062088;1;0;0;0.2105252;0;0;1;-0.372758;0;1;1;0
274;0.4026692;1;0;0;0.2105252;0;0;1;-0.207455;0;1;1;0
275;2.1029752;1;0;0;0.2105252;0;0;1;2.0241342;1;0;1;0
276;0.3280722;1;0;0;0.2105252;0;0;1;-0.620713;0;1;1;0
277;1.5792202;1;0;0;0.2105252;0;0;1;-0.207455;0;1;1;0
278;0.6107292;1;0;0;0.2105252;0;0;1;0.2884532;1;0;1;0
279;0.6787592;1;0;0;0.2105252;0;0;1;0.6190592;1;0;1;0
280;0.1941492;1;0;0;0.2105252;0;0;1;0.5364082;0;1;1;0
281;-0.129085;1;0;0;0.2105252;0;0;1;-1.199273;1;0;1;0
282;1.1758492;1;0;0;0.2105252;0;0;1;-0.372758;1;0;1;0
283;0.2613242;1;0;0;0.2105252;0;0;1;0.7017112;0;1;1;0
284;1.4395322;1;0;0;0.2105252;0;0;1;1.1976192;1;0;1;0
285;0.4781942;1;0;0;0.2105252;0;0;1;0.1231502;0;1;1;0
286;-1.219486;1;0;0;0.2105252;0;0;1;-0.703364;1;0;1;0
287;-0.492781;1;0;0;0.2105252;0;0;1;-0.290107;0;1;1;0
288;1.3101422;1;0;0;0.2105252;0;0;1;0.4537562;0;1;1;0
289;0.6107292;1;0;0;0.2105252;0;0;1;0.5364082;0;1;1;0
290;-0.776109;1;0;0;0.2105252;0;0;1;-0.786016;1;0;1;0
291;-1.219486;1;0;0;0.2105252;0;0;1;-0.372758;1;0;1;0
292;1.1758492;1;0;0;0.2105252;0;0;1;0.8670142;0;1;1;0
293;0.4026692;1;0;0;0.2105252;0;0;1;0.5364082;1;0;1;0
294;-0.419801;1;0;0;0.2105252;0;0;1;-0.290107;1;0;1;0
295;0.6107292;0;0;1;0.6376562;0;0;1;-0.45541;1;0;0;1
296;1.0396082;0;0;1;0.6376562;0;0;1;0.4537562;1;0;0;1
297;0.8965662;0;0;1;0.6376562;0;0;1;0.5364082;1;0;0;1
298;0.4026692;0;0;1;0.6376562;0;0;1;0.8670142;1;0;0;1
299;0.1941492;0;0;1;0.6376562;0;0;1;1.5282252;1;0;0;1
300;1.9003352;0;0;1;0.6376562;0;0;1;0.8670142;1;0;0;1
301;0.0735362;0;0;1;0.6376562;0;0;1;1.9414832;1;0;0;1
302;1.3101422;0;0;1;0.6376562;0;0;1;1.6108772;1;0;0;1
303;2.0397092;0;0;1;0.6376562;0;0;1;0.8670142;1;0;0;1
304;1.5792202;0;0;1;0.6376562;0;0;1;0.6190592;1;0;0;1
305;1.9003352;0;0;1;0.6376562;0;0;1;0.2058022;1;0;0;1
306;-0.265159;0;0;1;0.6376562;0;0;1;0.2058022;1;0;0;1
307;1.9771072;0;0;1;0.6376562;0;0;1;2.1894372;1;0;0;1
308;0.8219882;0;0;1;0.6376562;0;0;1;0.6190592;1;0;0;1
309;0.7472282;0;0;1;0.6376562;0;0;1;-1.03397;1;0;0;1
310;1.6618062;0;0;1;0.6376562;0;0;1;2.2720892;1;0;0;1
311;2.3136012;0;0;1;0.6376562;0;0;1;0.5364082;1;0;0;1
312;1.3747412;0;0;1;0.6376562;0;0;1;0.5364082;1;0;0;1
313;1.7348992;0;0;1;0.6376562;0;0;1;1.1976192;1;0;0;1
314;0.6787592;0;0;1;0.6376562;0;0;1;0.7843622;1;0;0;1
315;2.2031212;0;0;1;0.6376562;0;0;1;1.8588312;1;0;0;1
316;1.4395322;0;0;1;0.6376562;0;0;1;0.1231502;1;0;0;1
317;0.4026692;0;0;1;0.6376562;0;0;1;0.0404992;1;0;0;1
318;1.0396082;0;0;1;0.6376562;0;0;1;-0.124804;1;0;0;1
319;-0.419801;0;0;1;0.6376562;0;0;1;-0.372758;1;0;0;1
320;0.2613242;0;0;1;0.6376562;0;0;1;-1.03397;1;0;0;1
321;1.2405332;0;0;1;0.6376562;0;0;1;1.2802712;1;0;0;1
322;0.4781942;0;0;1;0.6376562;0;0;1;0.8670142;1;0;0;1
323;1.0396082;0;0;1;0.6376562;0;0;1;-0.951318;1;0;0;1
324;0.8965662;0;0;1;0.6376562;0;0;1;0.8670142;1;0;0;1
325;2.1029752;0;0;1;0.6376562;0;0;1;2.3547402;1;0;0;1
326;0.5443412;0;0;1;0.6376562;0;0;1;-0.372758;1;0;0;1
327;0.9675862;0;0;1;0.6376562;0;0;1;2.1894372;1;0;0;1
328;1.5792202;0;0;1;0.6376562;0;0;1;1.2802712;1;0;0;1
329;2.6267392;0;0;1;0.6376562;0;0;1;2.0241342;1;0;0;1
330;1.2405332;0;0;1;0.6376562;0;0;1;0.3711052;1;0;0;1
331;0.6107292;0;0;1;0.6376562;0;0;1;0.9496652;1;0;0;1
332;1.3747412;0;0;1;0.6376562;0;0;1;0.8670142;1;0;0;1
333;1.2405332;0;0;1;0.6376562;0;0;1;0.2884532;1;0;0;1
334;1.9771072;0;0;1;0.6376562;0;0;1;1.4455742;1;0;0;1
335;0.8219882;0;0;1;0.6376562;0;0;1;0.1231502;1;0;0;1
336;-1.723882;0;0;1;0.6376562;0;0;1;-1.447227;1;0;0;1
337;0.0735362;0;0;1;0.6376562;0;0;1;0.6190592;1;0;0;1
338;1.5792202;0;0;1;0.6376562;0;0;1;1.1976192;1;0;0;1
339;1.5792202;0;0;1;0.6376562;0;0;1;0.9496652;1;0;0;1
340;2.3136012;0;0;1;0.6376562;0;0;1;1.1976192;1;0;0;1
341;0.1941492;0;0;1;0.6376562;0;0;1;0.3711052;1;0;0;1
342;1.7348992;0;0;1;0.6376562;0;0;1;2.2720892;1;0;0;1
343;1.7348992;0;0;1;0.6376562;0;0;1;1.8588312;1;0;0;1
344;0.0043222;0;0;1;0.6376562;0;0;1;-0.372758;1;0;0;1
345;0.9675862;0;0;1;0.6376562;0;0;1;-0.207455;1;0;0;1
