gr.K;gr.1;gr.2;gr.3;cltype.small;cltype.reg;cltype.reg.A;hdeg.ASSOC;hdeg.BS.BA;hdeg.MS.MA.MEd;hdeg.MA.;hdeg.Ed.S;hdeg.Ed.D.Ph.D;clad.NOT;clad.APPR;clad.PROB;clad.PEND;clad.1;clad.2;clad.3;exp.p;read.p;math.p;ses.F;ses.N;schtype.inner;schtype.suburb;schtype.rural;schtype.urban;sx.M;sx.F;yrs.0;yrs.1;yrs.2;yrs.3
41;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4;590;549;0;1;0;1;0;0;0;1;0;1;0;0
42;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;579;559;0;1;0;1;0;0;0;1;0;0;1;0
43;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;7;610;618;0;1;0;1;0;0;0;1;0;0;0;1
44;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;6;514;559;1;0;0;0;1;0;0;1;1;0;0;0
45;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;7;590;601;0;1;0;0;1;0;0;1;0;1;0;0
46;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;10;659;648;1;0;0;0;1;0;0;1;0;0;1;0
47;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;12;526;561;1;0;1;0;0;0;1;0;0;0;1;0
48;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;14;451;500;0;1;0;1;0;0;0;1;1;0;0;0
49;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;33;564;488;1;0;0;1;0;0;0;1;0;1;0;0
50;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;25;555;530;0;1;0;1;0;0;0;1;0;0;1;0
51;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;21;608;540;1;0;0;1;0;0;0;1;0;0;0;1
52;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;17;451;559;0;1;0;1;0;0;1;0;1;0;0;0
53;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;571;567;0;1;0;1;0;0;1;0;0;1;0;0
54;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;669;674;0;1;0;1;0;0;1;0;0;0;1;0
55;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;11;654;663;0;1;0;1;0;0;1;0;0;0;0;1
56;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;15;538;563;0;1;0;1;0;0;0;1;0;0;1;0
57;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;9;424;528;1;0;0;0;1;0;0;1;1;0;0;0
58;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;11;509;529;1;0;0;0;1;0;0;1;0;1;0;0
59;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;7;566;593;1;0;0;0;1;0;0;1;0;0;1;0
60;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;17;620;610;1;0;0;0;1;0;0;1;0;0;0;1
61;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;8;393;506;1;0;0;1;0;0;0;1;1;0;0;0
62;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;16;466;484;1;0;0;1;0;0;0;1;0;1;0;0
63;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;19;610;603;1;0;0;1;0;0;0;1;0;0;0;1
64;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;629;567;1;0;0;1;0;0;0;1;0;1;0;0
65;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;18;659;584;0;1;0;1;0;0;0;1;0;0;1;0
66;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;21;654;651;0;1;0;1;0;0;0;1;0;0;0;1
67;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;477;505;0;1;0;0;1;0;1;0;0;1;0;0
68;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;31;557;552;0;1;0;0;1;0;1;0;0;0;1;0
69;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;8;577;550;0;1;0;0;1;0;1;0;0;0;0;1
70;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;20;471;470;1;0;0;1;0;0;0;1;0;1;0;0
71;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;12;517;536;1;0;0;1;0;0;0;1;0;0;1;0
72;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;18;567;597;1;0;0;1;0;0;0;1;0;0;0;1
73;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;442;478;0;1;1;0;0;0;1;0;1;0;0;0
74;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;20;453;474;1;0;0;1;0;0;1;0;0;1;0;0
75;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;12;431;489;1;0;0;0;1;0;0;1;1;0;0;0
76;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;6;424;500;0;1;0;0;1;0;1;0;1;0;0;0
77;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;31;536;535;1;0;0;0;1;0;1;0;0;1;0;0
78;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;12;657;639;0;1;0;0;1;0;1;0;0;0;0;1
79;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;419;405;1;0;1;0;0;0;1;0;1;0;0;0
80;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;10;483;535;1;0;0;0;0;1;1;0;0;1;0;0
81;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;421;484;0;1;1;0;0;0;1;0;1;0;0;0
82;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;434;449;1;0;1;0;0;0;1;0;1;0;0;0
83;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;459;484;1;0;1;0;0;0;1;0;0;1;0;0
84;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;532;525;1;0;1;0;0;0;1;0;0;0;1;0
85;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;629;538;0;1;0;0;0;1;1;0;0;1;0;0
86;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;8;622;639;0;1;0;0;0;1;1;0;0;0;1;0
87;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;15;686;691;0;1;0;0;0;1;1;0;0;0;0;1
88;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;517;523;1;0;1;0;0;0;1;0;0;0;1;0
89;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;17;562;561;1;0;1;0;0;0;1;0;0;0;0;1
90;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;472;526;1;0;1;0;0;0;1;0;0;1;0;0
91;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;575;629;0;1;0;0;1;0;1;0;0;0;0;1
92;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;614;620;0;1;1;0;0;0;1;0;0;0;1;0
93;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;661;636;0;1;1;0;0;0;1;0;0;0;0;1
94;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;8;425;513;0;1;0;1;0;0;1;0;1;0;0;0
95;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;485;538;0;1;0;1;0;0;1;0;0;1;0;0
96;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;425;439;1;0;1;0;0;0;1;0;1;0;0;0
97;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;524;529;0;1;0;0;1;0;1;0;0;1;0;0
98;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;618;570;0;1;0;0;1;0;1;0;0;0;1;0
99;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;633;603;0;1;0;0;1;0;1;0;0;0;0;1
100;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;13;424;489;1;0;0;0;1;0;1;0;1;0;0;0
101;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;13;517;543;1;0;0;0;1;0;1;0;0;0;1;0
102;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;8;564;582;1;0;0;0;1;0;1;0;0;0;0;1
103;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;15;443;478;0;1;0;1;0;0;0;1;1;0;0;0
104;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;18;524;542;0;1;0;1;0;0;0;1;0;1;0;0
105;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;22;602;616;0;1;0;1;0;0;0;1;0;0;0;1
106;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;21;641;639;1;0;0;1;0;0;1;0;0;0;0;1
107;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;514;520;0;1;0;0;1;0;1;0;1;0;0;0
108;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;14;604;592;0;1;0;0;1;0;1;0;0;1;0;0
109;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;608;626;0;1;0;0;1;0;1;0;0;0;1;0
110;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;22;639;711;0;1;0;0;1;0;1;0;0;0;0;1
111;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4;482;493;1;0;0;1;0;0;1;0;0;1;0;0
112;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;13;460;559;0;1;0;0;1;0;0;1;1;0;0;0
113;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;530;549;0;1;0;0;1;0;0;1;0;1;0;0
114;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;20;611;593;0;1;0;0;1;0;0;1;0;0;1;0
115;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;28;606;642;0;1;0;0;1;0;0;1;0;0;0;1
116;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2;524;535;0;1;0;1;0;0;0;1;0;1;0;0
117;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;15;659;599;0;1;0;1;0;0;0;1;0;0;1;0
118;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;444;479;1;0;0;0;0;1;0;1;0;1;0;0
119;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;6;397;418;1;0;1;0;0;0;1;0;1;0;0;0
120;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;4;448;479;0;1;0;1;0;0;1;0;0;1;0;0
121;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;8;527;506;0;1;0;0;1;0;0;1;1;0;0;0
122;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;7;651;584;0;1;0;0;1;0;0;1;0;1;0;0
123;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;13;732;699;0;1;0;0;1;0;0;1;0;0;1;0
124;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;7;702;639;0;1;0;0;1;0;0;1;0;0;0;1
125;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;10;467;494;0;1;0;0;1;0;1;0;1;0;0;0
126;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;16;579;557;1;0;0;0;1;0;1;0;0;1;0;0
127;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;14;636;663;1;0;0;0;1;0;1;0;0;0;0;1
128;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;15;475;490;0;1;0;0;1;0;1;0;0;1;0;0
129;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;577;533;0;1;0;0;1;0;1;0;0;0;1;0
130;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;8;419;439;1;0;0;0;1;0;0;1;1;0;0;0
131;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;8;547;590;1;0;0;0;0;1;0;1;0;0;1;0
132;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;15;578;608;1;0;0;0;0;1;0;1;0;0;0;1
133;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;23;569;563;0;1;0;1;0;0;0;1;0;0;1;0
134;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;14;647;634;0;1;0;1;0;0;0;1;0;0;0;1
135;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;460;494;0;1;0;1;0;0;0;1;1;0;0;0
136;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;23;536;545;0;1;0;1;0;0;0;1;0;1;0;0
137;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;15;602;611;0;1;0;1;0;0;0;1;0;0;1;0
138;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;20;647;606;0;1;0;1;0;0;0;1;0;0;0;1
139;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;8;512;553;1;0;0;0;0;1;1;0;0;1;0;0
140;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;602;579;1;0;0;0;0;1;1;0;0;0;1;0
141;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;7;622;645;1;0;0;0;0;1;1;0;0;0;0;1
142;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;11;540;505;0;1;0;1;0;0;1;0;0;1;0;0
143;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;4;602;556;0;1;0;1;0;0;1;0;0;0;1;0
144;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;4;608;614;0;1;0;1;0;0;1;0;0;0;0;1
145;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;20;454;490;1;0;0;0;1;0;0;1;0;1;0;0
146;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;500;556;1;0;0;0;1;0;0;1;0;0;1;0
147;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;13;410;429;1;0;0;0;1;0;0;1;1;0;0;0
148;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;8;577;567;1;0;0;0;1;0;0;1;0;0;0;1
149;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;8;382;454;1;0;0;0;1;0;0;1;1;0;0;0
150;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;456;488;1;0;0;0;1;0;0;1;0;1;0;0
151;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;8;474;602;0;1;1;0;0;0;0;1;1;0;0;0
152;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;8;571;584;1;0;1;0;0;0;0;1;0;1;0;0
153;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;21;650;593;1;0;1;0;0;0;0;1;0;0;1;0
154;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;11;633;642;1;0;1;0;0;0;0;1;0;0;0;1
155;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;19;650;606;0;1;0;1;0;0;0;1;0;0;0;1
156;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;24;521;562;1;0;1;0;0;0;0;1;0;1;0;0
157;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;24;544;554;1;0;1;0;0;0;0;1;0;0;1;0
158;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;10;448;494;0;1;0;0;1;0;1;0;1;0;0;0
159;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;7;558;584;0;1;0;0;1;0;1;0;0;1;0;0
160;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;13;569;639;0;1;0;0;1;0;1;0;0;0;1;0
161;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;7;585;651;0;1;0;0;1;0;1;0;0;0;0;1
162;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;15;487;481;1;0;0;0;1;0;1;0;0;1;0;0
163;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;12;407;454;1;0;0;0;1;0;1;0;1;0;0;0
164;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;11;450;500;1;0;1;0;0;0;1;0;1;0;0;0
165;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;17;462;510;1;0;1;0;0;0;1;0;0;1;0;0
166;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;524;570;1;0;1;0;0;0;1;0;0;0;1;0
167;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;14;554;606;1;0;1;0;0;0;1;0;0;0;0;1
168;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;10;467;547;1;0;1;0;0;0;0;1;1;0;0;0
169;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;540;520;1;0;1;0;0;0;0;1;0;1;0;0
170;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;564;556;1;0;1;0;0;0;0;1;0;0;1;0
171;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;639;612;1;0;1;0;0;0;0;1;0;0;0;1
172;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;450;439;1;0;1;0;0;0;0;1;1;0;0;0
173;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;24;552;611;1;0;1;0;0;0;0;1;0;0;1;0
174;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;9;585;571;1;0;1;0;0;0;0;1;0;0;0;1
175;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;11;447;528;0;1;0;1;0;0;1;0;1;0;0;0
176;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;4;514;572;0;1;0;1;0;0;1;0;0;1;0;0
177;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;9;582;603;0;1;0;1;0;0;1;0;0;0;1;0
178;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;15;610;603;0;1;0;1;0;0;1;0;0;0;0;1
179;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;472;576;0;1;0;1;0;0;1;0;1;0;0;0
180;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;5;440;494;1;0;0;0;0;1;0;1;1;0;0;0
181;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;560;573;1;0;0;0;0;1;1;0;0;0;0;1
182;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;19;590;572;0;1;0;1;0;0;1;0;0;1;0;0
183;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;25;713;645;0;1;0;1;0;0;1;0;0;0;0;1
184;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;12;437;463;0;1;0;0;1;0;0;1;1;0;0;0
185;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;23;514;529;0;1;0;0;1;0;0;1;0;1;0;0
186;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;21;538;565;0;1;0;0;1;0;0;1;0;0;1;0
187;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;36;555;562;0;1;0;0;1;0;0;1;0;0;0;1
