;Security p;DS p;Project p;OS p;Compil p;Network p;LogProg p;GraphTh p;Crypto p;HMI p
09MI0202;11.5;8.08;16.25;11.5;12.125;7.166666667;12.16666667;10.9375;9.75;10.33333333
09MI0389;5.33;4.67;16.5;6.4375;11;4.333333333;7.333333333;9.5;6;9.666666667
09MI0017;11.17;11.75;16.5;11.0625;12.625;15;8.5;11.4375;8.5;5.166666667
09MI0207;6.83;7.67;16.5;6.875;7.9375;8.833333333;9.5;9.0625;3.5;11.5
07MI259;10;11.33;16.25;11.6875;9.3125;12.16666667;11.83333333;9.09375;12;7.5
0910TMI02;16.17;9.5;16.5;12.125;16;8.333333333;11;14.5325;8.75;7
09MI0078;13.17;11.75;16.5;12.375;13.5;11.66666667;8.25;13.25;13.75;11.16666667
08MI183;9.67;9.5;16.5;7.375;13.375;12;7.666666667;12.4375;9.25;12.66666667
09MI0095;11.33;10;16.5;12.5625;11.5;9.333333333;11;13.40625;11.25;5.833333333
08MI072;12.17;11.33;16.5;9.4375;12.625;6.5;10.33333333;9.84375;8.75;9.166666667
09MI0020;15.33;12.67;16.5;14.125;15.125;14;13.33333333;13.59375;11.25;9
09MI0283;8.17;6.67;15.5;8.25;11.875;6.833333333;8.166666667;9.0625;8.75;5.333333333
09MI0454;6.83;9;15;10;12.125;8.666666667;8.833333333;8.25;9.5;3.5
09MI0185;7.83;9.5;16.25;7.1875;10.25;6.666666667;10.5;11.625;11.75;8.833333333
09MI0130;9.83;9.5;16.5;8.5625;11.5;6;6.666666667;9.46875;9.75;11.83333333
09MI0473;11.67;9;16.5;10.0625;9.875;7.333333333;8;10.53125;9;10.83333333
07MI132;6.83;8.5;16;3.4375;11;9.166666667;8.666666667;8.8125;8.25;13.5
09MI0496;8.83;8.08;16.25;13.0625;11.25;10.66666667;9;10.8125;8;3.333333333
08MI186;7.17;3.33;15;9.375;12.25;7.333333333;9.333333333;10.15625;7.75;7.333333333
09MI0033;8.83;6.67;16.25;10;12.75;7.333333333;9.333333333;12.625;6.75;7.333333333
09MI0178;9.83;12.67;16.25;12.4375;14.125;9.166666667;9;10.875;12;8.166666667
09MI0188;12.67;14.33;16.5;12.5625;14.25;10.66666667;10.16666667;11.125;11.25;13.33333333
09MI0319;15.33;10.42;16.25;13.75;14.375;11.66666667;10;13.46875;10.5;8.5
08MI070;12.67;11.75;16.25;13.375;13.25;8.166666667;7.833333333;6.21875;10;10.83333333
09MI0120;7.5;10.83;16.5;10.375;12.125;8.833333333;8.166666667;9.9375;8;9.666666667
09MI0163;12.33;10;16.5;13.4375;10.5;12;11;9.8125;11.5;7.333333333
07MI107;4.67;4.67;16;6;10.375;5.166666667;8.5;10.845;5.25;9.666666667
08MI057;11.67;11.33;16.25;12;12.25;13.33333333;13;12.46875;10;3.833333333
08MI192;9.33;9.5;15;8.1875;9.875;6.833333333;8;10.21875;5.25;10.5
09MI0354;5.5;7.67;15;10.1875;14.75;6.666666667;8.333333333;11.0625;13;7.666666667
08MI019;8.17;10;15;10.9375;14.375;8.666666667;9.333333333;9.84375;11.75;8.666666667
08MI029;8;6.17;16.5;11.8125;9.875;4.333333333;10.33333333;8.25;4.5;10
09MI0136;10.33;3.33;16.25;12.3125;9.5;13.16666667;7.5;10.5625;7.5;4.833333333
09MI0425;10.83;9;16.25;10;12.25;5.333333333;8.666666667;13.75;9;10.66666667
09MI0378;9.17;8.5;16.5;10;12.25;8;10.83333333;12.5625;11.5;7.833333333
09MI0015;11.5;8.5;16.5;11.6875;13.0625;8.833333333;8.166666667;11.6875;8.75;7.666666667
09MI0236;15.17;9.5;16.5;10;11.3125;4.666666667;9.666666667;13.97;10.5;9.5
09MI0094;13.83;12.67;16.5;17.375;12.375;11;11.33333333;11.53125;13.75;9.166666667
08SN06109CMI;9.33;6.67;16.5;13.25;11.875;7;11.33333333;15.15625;8.5;13
09MI0059;9.17;9;16.5;11.625;13.875;7.666666667;11.33333333;11;6;11.66666667
09MI0001;7.83;9.5;16.5;9.3125;10.25;5.666666667;7.833333333;11.1875;6.75;8.666666667
09MI0197;13.5;8.08;16.5;15.125;13.8125;7.166666667;13.16666667;14.6875;11;8.833333333
09MI0368;10;5.17;16.5;10;12.625;11.16666667;8.166666667;9.5;5.75;12.66666667
09MI0225;8;8.08;15;11.125;11.625;9.666666667;10.33333333;9.78125;8.75;10.66666667
09MI0339;8.17;5.17;16.5;6.75;7.6875;3.666666667;7.5;9.59375;4.75;8.5
09MI0375;10.33;9;16.5;10.8125;13;8.333333333;12.33333333;11.09375;12.75;2.5
09MI0213;12.33;7.67;15;12.3125;13.75;7;12;9.3125;4.75;13.33333333
09MI0443;14.67;10.42;16.5;10.4375;13.125;8.166666667;12.16666667;12.75;11.75;6.166666667
09MI0507;9.5;5.67;16.5;11.25;12.375;10;9.333333333;11.09375;8;5.166666667
09MI0257;10.17;9;16.5;12.875;14.375;9.166666667;9.666666667;12;7.5;7.333333333
09MI0381;13.17;10.42;16.5;10.75;12.875;8.333333333;8.666666667;11.15625;6.5;10
08MI021;9.83;11.75;16.25;10.25;12.375;7.5;10;9.3125;11.5;9.833333333
09MI0444;10.33;11.75;16.25;10.4375;11.0625;7.666666667;7.666666667;7.21875;8.5;6.333333333
09MI0035;5.67;5.17;16;7.75;7;8.833333333;5.333333333;10;7;9.5
09MI0233;5.33;7.17;16;10.125;9.375;7.333333333;10;9.9375;10.5;6
09MI0429;7.17;8.08;16.5;13.625;11.5;9.166666667;8.333333333;12.9375;2.75;4.833333333
09MI0002;10.33;11.33;16.5;11.0625;13.8125;13.16666667;9.333333333;11.84375;10;8.833333333
09MI0112;16.17;7.67;16.5;13.8125;13.25;10;9.333333333;14.9375;10;9.666666667
07MI184;5.83;4;16.5;9.3125;11.3125;5.666666667;6.666666667;8.125;2.25;8.333333333
09MI0204;12.5;9.42;16.5;10;11;13;9.666666667;8.71875;8;3.833333333
09MI0406;12.83;14.33;16.5;11.8125;13;9.833333333;9.833333333;11.375;9.25;6.5
09MI0502;10.5;10;16;10;12.4375;6.166666667;7.333333333;10.90625;8;6.5
09MI0133;8.83;7.67;16;8.375;10.75;8.666666667;7;10.03125;7.5;9.5
09MI0086;11.5;12.17;16.25;8.4375;13.875;6.5;10.16666667;9.375;7.75;2
09MI0370;8.17;6.67;16;11.25;12.625;6.666666667;6.833333333;12.53125;10;8
09MI0365;12.33;7.67;16.25;10;11;9;12.16666667;12.28125;12.5;8.666666667
09MI0145;5.83;4;16;5.9375;8;8.5;6;5.96875;4.5;10.33333333
09MI0066;7.67;3.33;16;8.625;12.375;6;7.5;9;5.5;0.833333333
09MI0038;6.67;7.67;16;8.625;13.4375;8.166666667;11.33333333;11.03125;6.75;4.833333333
09MI0267;12.17;7.67;16;11.4375;12.75;10;10;10.46875;13.5;5.333333333
09MI0445;12.33;11.33;16;10.1875;12.375;9;10.83333333;11.1875;10;8.5
09MI0351;8.5;8.08;15.5;12.4375;11.125;6.5;9.166666667;8.71875;6.75;13
09MI0395;10.5;5.67;16;7.1875;11.5;7.5;6.666666667;8.75;9;11.33333333
09MI0312;5.67;6.67;16.5;9.3125;10.75;6.333333333;8.666666667;9.53125;7.25;4.333333333
09MI0371;4.17;6.17;16.5;6;9.0625;5.5;7;8.875;7;8.5
09MI0070;8.17;10.42;16;10.4375;12.625;12.33333333;7.5;10.4375;9.5;4.166666667
09MI0191;8.17;2.67;16.5;6.375;8.5;8.166666667;8.333333333;6.5625;10;0.833333333
09MI0147;8.5;8.5;16.5;10;14.125;6;9.333333333;11.1875;13;3
09MI0160;11.67;9.42;16.5;10;12.0625;9.833333333;8;11.90625;8;7.666666667
09MI0517;11.5;9.42;16.5;11.9375;12.75;9.833333333;9.666666667;10.5625;8.75;9.666666667
09MI0040;12;6.67;16.5;11;10.875;7.333333333;10;11.15625;7.25;13.16666667
09MI0105;9.83;8.5;16;10.9375;11.5;8.5;10.16666667;7.71875;8.25;10
07MI233;2;9.42;16.5;7.8125;10.5625;7.833333333;10;6.65625;8;9
09MI0072;13.5;2.67;16.5;15.0625;14;3.666666667;8.666666667;14.46875;7.5;7.5
07MI041;7.17;8.08;16.5;9.125;11.4375;8;7.333333333;9.90625;6;7
08MI200;10.5;9.42;16;11.6875;11.5;7.666666667;10.83333333;7.1875;11;9.5
09MI0118;8.5;6.67;16.25;10.3125;11.125;9.666666667;10;10.59375;12.5;6.833333333
09MI0423;15.83;15.33;16.5;12.625;14.5;11;13;11.21875;13;9.333333333
09MI0193;11.33;11.33;16.5;13.125;15.875;13.83333333;10.66666667;11;8;13.83333333
08MI173;13;8.5;16.5;10.5625;12.3125;6.833333333;9.666666667;10.3125;10.25;10
08MI171;9.33;4.67;15;7.625;11.125;4.666666667;8;10;5.25;12
08MI265;10;11.33;16.5;10.5;11.125;10;9;9.96875;7.5;4.666666667
09MI0203;6.83;10;15;10.125;11.875;7;9.833333333;9.6875;8;8.333333333
09MI0559;10.5;8.5;16.5;9.1875;13.5;12.66666667;11.16666667;11.625;11.25;5.333333333
08MI280;10.5;7.17;16.5;10.75;12.125;10;11.66666667;7.78125;11;10
09MI0144;7.83;7.67;15.5;10;7.6875;6.166666667;11.66666667;10.875;8.25;10
07MI109;9;5.67;16.5;8.375;12.25;9.666666667;10;10;9.25;9
07MI273;6.33;7.67;16.5;5.75;6.5625;6.333333333;8.333333333;5.78125;2.75;8.666666667
09MI0451;8.5;8.5;15.5;10.75;13;7.333333333;9.666666667;11.125;9.5;7.166666667
09MI0184;12.33;7.67;16.5;11.125;13.625;11.5;10.83333333;12.46875;5.75;7
09MI0096;13;7.67;16.5;11.625;11.5;9;9.333333333;9.09375;10.25;5.333333333
09MI0224;11.67;12.67;16.5;9.25;12.75;9.5;11.66666667;10.34375;13;7.166666667
09MI0044;6.33;8.17;16.5;10.875;10.875;5.333333333;9.333333333;10.5;7.75;7.333333333
09MI0408;12;7.67;16.5;10;12.875;7.333333333;9.666666667;11.4375;8;9.666666667
09MI0067;10;7.67;16.5;12.3125;13.5;6.833333333;8.333333333;12.1875;6.25;9
09MI0164;9.33;6.67;16.5;10;11.625;8;9.5;11.40625;4.75;9.833333333
09MI0430;6.33;13.67;16;12.1875;11.9375;8.833333333;9.666666667;13.1875;9;8.833333333
07MI114;4.17;6.17;16;7.1875;9.5625;4;9.666666667;10.25;2.5;10.5
09MI0455;10.67;9.5;16;11.75;11;14.16666667;14.16666667;9.9375;14.5;3.833333333
09MI0054;7.83;11.75;16.5;8.6875;7.375;10.83333333;9.5;11.46875;7.75;8.833333333
09MI0142;8.5;10;16.5;8.1875;10.75;9.833333333;9.833333333;10.875;10.25;9.666666667
09MI0198;11.33;7.17;16.5;10.0625;11.75;6.833333333;7.833333333;10.53125;5;6
09MI0100;5.83;6.67;16.5;7.5;12.5625;4.333333333;9.833333333;8.96875;6.5;8.666666667
08MI264;10.33;5.17;16;8.5625;11.5;8.666666667;11.16666667;9.375;6.5;7.833333333
08MI266;8.83;8.5;16;11.5;13.375;8.666666667;8.333333333;10.40625;15.25;3.5
09MI0523;4.83;10.42;16;11.5;12.75;11.16666667;8.666666667;10.6875;7.25;13.83333333
08MI102;4;8.42;16.5;11.5625;12.125;7;7.5;8.40625;4.5;7.666666667
08MI032;7.33;9.5;16.5;10.0625;9.5;11.33333333;11;11.03125;7;3.333333333
09MI0148;7;8.17;16.5;8.5;10;9.166666667;9.333333333;6.96875;12.25;9.833333333
09MI0227;8.83;5.67;16.5;11.4375;12.625;5.5;10.66666667;8.2825;4.25;4.333333333
09MI0424;12.83;8.17;16;12.625;13.75;8;14.16666667;10.46875;16.75;6.5
09MI0122;11.33;11.33;16.5;9.0625;13.375;9;10.83333333;11.625;10.25;11
08MI033;6.67;6.67;16.5;8.6875;12.875;8.5;7.833333333;9.03125;5.75;7
09MI0311;8.67;10.42;16.5;11.375;11.25;8.5;8.666666667;10;5.25;6.666666667
08MI104;8.33;5.67;16;10.875;10.75;10;8.833333333;10.78125;7.25;5.333333333
09MI0106;11.67;8.5;16.5;10.5;13.125;5;6;11.90625;6.75;10.83333333
08MI125;9.33;5.67;16;9.4375;7.25;10;10.5;14.59375;12.5;1.166666667
09MI0210;12.5;17;16.5;13.125;12.75;12.5;13.66666667;14.03125;14.25;3.666666667
09MI0336;13.17;9;16.5;9.4375;12.875;10;10.08333333;13.9075;7.75;12.16666667
09MI0211;15;12.67;16.5;12.875;14.875;11.33333333;12.33333333;12.34375;9.5;9.666666667
08MI165;12;11.33;16.5;13.5625;13;10.66666667;11.16666667;12.34375;7.75;12.5
09MI0097;13.17;10.42;16.5;11.0625;14.75;8.333333333;10.66666667;12.46875;14.75;8.833333333
09MI0115;18.33;7.67;16.25;13.9375;15.25;9.166666667;11.66666667;13.8125;11.75;13
09MI0411;4.67;6.67;16;9.3125;12.75;12.33333333;8.166666667;7.8125;8;6.666666667
